"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADO_SUB_JUDICE";"QT_VOTOS_SEM_CAND_P_VOTAR";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"66117";"JOANÓPOLIS";"66117";"JOANÓPOLIS";"92";"11";"Prefeito";"9928";"27";"0";"9928";"27";"7722";"2206";"N";"7104";"182";"436";"0";"0";"0";"0";"0";"0";"23:20:03";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"66257";"JUQUITIBA";"66257";"JUQUITIBA";"201";"13";"Vereador";"23719";"62";"0";"23719";"62";"18420";"5299";"N";"15940";"492";"564";"847";"0";"26";"3";"548";"0";"18:00:00";"20/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"70351";"SANTA GERTRUDES";"70351";"SANTA GERTRUDES";"243";"13";"Vereador";"17917";"47";"1";"17917";"47";"14161";"3756";"N";"12452";"445";"632";"625";"0";"0";"0";"7";"0";"23:32:05";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"66753";"MARABÁ PAULISTA";"66753";"MARABÁ PAULISTA";"102";"11";"Prefeito";"3186";"9";"0";"3186";"9";"2568";"618";"N";"2415";"46";"102";"0";"0";"0";"0";"5";"0";"23:00:38";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"62014";"BARÃO DE ANTONINA";"62014";"BARÃO DE ANTONINA";"56";"11";"Prefeito";"2745";"7";"1";"2745";"7";"2202";"543";"N";"2101";"28";"73";"0";"0";"0";"0";"0";"0";"19:13:28";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"71595";"TACIBA";"71595";"TACIBA";"167";"11";"Prefeito";"4768";"14";"0";"4768";"14";"4316";"452";"N";"4190";"20";"106";"0";"0";"0";"0";"0";"0";"23:21:00";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"67393";"MORRO AGUDO";"67393";"MORRO AGUDO";"336";"11";"Prefeito";"20833";"56";"1";"20833";"56";"15477";"5356";"N";"14099";"519";"859";"0";"0";"0";"0";"0";"0";"23:10:18";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"62138";"BARUERI";"62138";"BARUERI";"199";"11";"Prefeito";"140656";"345";"1";"140656";"345";"107102";"33554";"N";"93625";"5226";"8251";"0";"0";"0";"0";"0";"0";"02:20:01";"16/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"64971";"ICÉM";"64971";"ICÉM";"78";"11";"Prefeito";"6327";"16";"0";"6327";"16";"5192";"1135";"N";"5015";"44";"122";"0";"0";"0";"0";"11";"0";"22:50:38";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"68055";"PALMEIRA D OESTE";"68055";"PALMEIRA D OESTE";"232";"13";"Vereador";"7941";"21";"1";"7941";"21";"5753";"2188";"N";"5089";"193";"246";"225";"0";"0";"0";"0";"0";"23:10:26";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"62022";"LOURDES";"62022";"LOURDES";"214";"11";"Prefeito";"1962";"5";"0";"1962";"5";"1665";"297";"N";"1615";"14";"36";"0";"0";"0";"0";"0";"0";"22:03:29";"15/11/2020"
"28/05/2021";"12:48:52";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"SP";"68314";"PAULÍNIA";"68314";"PAULÍNIA";"323";"11";"Prefeito";"79885";"193";"2";"79885";"193";"61494";"18391";"N";"55888";"2054";"3552";"0";"0";"0";"0";"0";"0";"23:31:41";"15/11/2020"
